id,Question,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Answer_G,Answer_H,Answer_I,Answer_J,Question_With_Options,Only_Options
13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
14,Land shouldn’t be a commodity to be bought and sold.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Land shouldn’t be a commodity to be bought and sold.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
16,Protectionism is sometimes necessary in trade.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Protectionism is sometimes necessary in trade.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
17,The only social responsibility of a company should be to deliver a profit to its shareholders.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The only social responsibility of a company should be to deliver a profit to its shareholders.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
18,The rich are too highly taxed.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The rich are too highly taxed.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
19,Those with the ability to pay should have access to higher standards of medical care.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Those with the ability to pay should have access to higher standards of medical care.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
20,Governments should penalise businesses that mislead the public.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Governments should penalise businesses that mislead the public.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
22,"Abortion, when the woman’s life is not threatened, should always be illegal.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Abortion, when the woman’s life is not threatened, should always be illegal.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
23,All authority should be questioned.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"All authority should be questioned.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
24,An eye for an eye and a tooth for a tooth.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"An eye for an eye and a tooth for a tooth.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
26,Schools should not make classroom attendance compulsory.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Schools should not make classroom attendance compulsory.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
28,Good parents sometimes have to spank their children.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Good parents sometimes have to spank their children.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
29,It’s natural for children to keep some secrets from their parents.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"It’s natural for children to keep some secrets from their parents.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
30,Possessing marijuana for personal use should not be a criminal offence.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Possessing marijuana for personal use should not be a criminal offence.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
31,The prime function of schooling should be to equip the future generation to find jobs.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The prime function of schooling should be to equip the future generation to find jobs.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
32,People with serious inheritable disabilities should not be allowed to reproduce.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"People with serious inheritable disabilities should not be allowed to reproduce.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
33,The most important thing for children to learn is to accept discipline.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The most important thing for children to learn is to accept discipline.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
34,There are no savage and civilised peoples; there are only different cultures.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"There are no savage and civilised peoples; there are only different cultures.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Those who are able to work, and refuse the opportunity, should not expect society’s support.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
37,First-generation immigrants can never be fully integrated within their new country.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"First-generation immigrants can never be fully integrated within their new country.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"What’s good for the most successful corporations is always, ultimately, good for all of us.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
39,"No broadcasting institution, however independent its content, should receive public funding.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"No broadcasting institution, however independent its content, should receive public funding.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Our civil liberties are being excessively curbed in the name of counter-terrorism.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
43,The death penalty should be an option for the most serious crimes.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The death penalty should be an option for the most serious crimes.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Abstract art that doesn’t represent anything shouldn’t be considered art at all.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
46,"In criminal justice, punishment should be more important than rehabilitation.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"In criminal justice, punishment should be more important than rehabilitation.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
47,It is a waste of time to try to rehabilitate some criminals.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"It is a waste of time to try to rehabilitate some criminals.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
48,The businessperson and the manufacturer are more important than the writer and the artist.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The businessperson and the manufacturer are more important than the writer and the artist.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
49,"Mothers may have careers, but their first duty is to be homemakers.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Mothers may have careers, but their first duty is to be homemakers.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
51,Making peace with the establishment is an important aspect of maturity.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Making peace with the establishment is an important aspect of maturity.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
52,Astrology accurately explains many things.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Astrology accurately explains many things.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
53,You cannot be moral without being religious.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"You cannot be moral without being religious.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
54,Charity is better than social security as a means of helping the genuinely disadvantaged.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Charity is better than social security as a means of helping the genuinely disadvantaged.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
55,Some people are naturally unlucky.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Some people are naturally unlucky.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
56,It is important that my child’s school instills religious values.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"It is important that my child’s school instills religious values.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
57,Sex outside marriage is usually immoral.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Sex outside marriage is usually immoral.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
59,"Pornography, depicting consenting adults, should be legal for the adult population.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Pornography, depicting consenting adults, should be legal for the adult population.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
60,What goes on in a private bedroom between consenting adults is no business of the state.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"What goes on in a private bedroom between consenting adults is no business of the state.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
61,No one can feel naturally homosexual.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"No one can feel naturally homosexual.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
62,These days openness about sex has gone too far.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"These days openness about sex has gone too far.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
